cancer_classification,YEAR,Age_Group,M,F,TOTAL
Rectum and anus (C19-21),1976,N85+,254,437,691
Rectum and anus (C19-21),1976,N_UNK,0,0,0
Rectum and anus (C19-21),1977,N0_4,0,0,0
Rectum and anus (C19-21),1977,N5_9,1,0,1
Rectum and anus (C19-21),1977,N10_14,0,1,1
Rectum and anus (C19-21),1977,N15_19,0,0,0
Rectum and anus (C19-21),1977,N20_24,2,4,6
Rectum and anus (C19-21),1977,N25_29,7,7,14
Rectum and anus (C19-21),1977,N30_34,17,22,39
Rectum and anus (C19-21),1977,N35_39,46,29,75
Rectum and anus (C19-21),1977,N40_44,85,53,138
Rectum and anus (C19-21),1977,N45_49,189,127,316
Rectum and anus (C19-21),1977,N50_54,378,256,634
Rectum and anus (C19-21),1977,N55_59,550,373,923
Rectum and anus (C19-21),1977,N60_64,790,541,1331
Rectum and anus (C19-21),1977,N65_69,1119,783,1902
Rectum and anus (C19-21),1977,N70_74,1125,778,1903
Rectum and anus (C19-21),1977,N75_79,886,812,1698
Rectum and anus (C19-21),1977,N80_84,542,668,1210
Rectum and anus (C19-21),1977,N85+,301,464,765
Rectum and anus (C19-21),1977,N_UNK,1,0,1
Rectum and anus (C19-21),1978,N0_4,0,0,0
Rectum and anus (C19-21),1978,N5_9,0,0,0
Rectum and anus (C19-21),1978,N10_14,0,0,0
Rectum and anus (C19-21),1978,N15_19,1,0,1
Rectum and anus (C19-21),1978,N20_24,4,5,9
Rectum and anus (C19-21),1978,N25_29,11,6,17
Rectum and anus (C19-21),1978,N30_34,28,22,50
Rectum and anus (C19-21),1978,N35_39,47,41,88
Rectum and anus (C19-21),1978,N40_44,89,85,174
Rectum and anus (C19-21),1978,N45_49,195,159,354
Rectum and anus (C19-21),1978,N50_54,362,313,675
Rectum and anus (C19-21),1978,N55_59,688,500,1188
Rectum and anus (C19-21),1978,N60_64,876,622,1498
Rectum and anus (C19-21),1978,N65_69,1151,828,1979
Rectum and anus (C19-21),1978,N70_74,1288,961,2249
Rectum and anus (C19-21),1978,N75_79,1033,943,1976
Rectum and anus (C19-21),1978,N80_84,554,715,1269
Rectum and anus (C19-21),1978,N85+,322,578,900
Rectum and anus (C19-21),1978,N_UNK,1,0,1
Rectum and anus (C19-21),1979,N0_4,0,0,0
Rectum and anus (C19-21),1979,N5_9,0,0,0
Rectum and anus (C19-21),1979,N10_14,0,0,0
Rectum and anus (C19-21),1979,N15_19,1,1,2
Rectum and anus (C19-21),1979,N20_24,4,4,8
Rectum and anus (C19-21),1979,N25_29,12,6,18
Rectum and anus (C19-21),1979,N30_34,37,34,71
Rectum and anus (C19-21),1979,N35_39,52,29,81
Rectum and anus (C19-21),1979,N40_44,98,71,169
Rectum and anus (C19-21),1979,N45_49,187,144,331
Rectum and anus (C19-21),1979,N50_54,396,290,686
Rectum and anus (C19-21),1979,N55_59,731,461,1192
Rectum and anus (C19-21),1979,N60_64,859,584,1443
Rectum and anus (C19-21),1979,N65_69,1249,807,2056
Rectum and anus (C19-21),1979,N70_74,1363,952,2315
Rectum and anus (C19-21),1979,N75_79,1084,968,2052
Rectum and anus (C19-21),1979,N80_84,605,802,1407
Rectum and anus (C19-21),1979,N85+,307,615,922
Rectum and anus (C19-21),1979,N_UNK,0,0,0
Rectum and anus (C19-21),1980,N0_4,0,0,0
Rectum and anus (C19-21),1980,N5_9,0,0,0
Rectum and anus (C19-21),1980,N10_14,0,0,0
Rectum and anus (C19-21),1980,N15_19,0,0,0
Rectum and anus (C19-21),1980,N20_24,3,3,6
Rectum and anus (C19-21),1980,N25_29,12,5,17
Rectum and anus (C19-21),1980,N30_34,22,20,42
Rectum and anus (C19-21),1980,N35_39,45,36,81
Rectum and anus (C19-21),1980,N40_44,98,69,167
Rectum and anus (C19-21),1980,N45_49,174,152,326
Rectum and anus (C19-21),1980,N50_54,366,278,644
Rectum and anus (C19-21),1980,N55_59,691,478,1169
Rectum and anus (C19-21),1980,N60_64,842,581,1423
Rectum and anus (C19-21),1980,N65_69,1303,838,2141
Rectum and anus (C19-21),1980,N70_74,1402,1009,2411
Rectum and anus (C19-21),1980,N75_79,1099,1037,2136
Rectum and anus (C19-21),1980,N80_84,635,805,1440
Rectum and anus (C19-21),1980,N85+,399,646,1045
Rectum and anus (C19-21),1980,N_UNK,0,1,1
Rectum and anus (C19-21),1981,N0_4,0,1,1
Rectum and anus (C19-21),1981,N5_9,0,0,0
Rectum and anus (C19-21),1981,N10_14,0,0,0
Rectum and anus (C19-21),1981,N15_19,1,1,2
Rectum and anus (C19-21),1981,N20_24,4,4,8
Rectum and anus (C19-21),1981,N25_29,13,8,21
Rectum and anus (C19-21),1981,N30_34,26,19,45
Rectum and anus (C19-21),1981,N35_39,55,44,99
Rectum and anus (C19-21),1981,N40_44,111,71,182
Rectum and anus (C19-21),1981,N45_49,216,138,354
Rectum and anus (C19-21),1981,N50_54,396,278,674
Rectum and anus (C19-21),1981,N55_59,688,506,1194
Rectum and anus (C19-21),1981,N60_64,857,614,1471
Rectum and anus (C19-21),1981,N65_69,1274,820,2094
Rectum and anus (C19-21),1981,N70_74,1381,1014,2395
Rectum and anus (C19-21),1981,N75_79,1167,990,2157
Rectum and anus (C19-21),1981,N80_84,659,813,1472
Rectum and anus (C19-21),1981,N85+,416,672,1088
Rectum and anus (C19-21),1981,N_UNK,2,0,2
Rectum and anus (C19-21),1982,N0_4,1,0,1
Rectum and anus (C19-21),1982,N5_9,0,0,0
Rectum and anus (C19-21),1982,N10_14,0,0,0
Rectum and anus (C19-21),1982,N15_19,1,1,2
Rectum and anus (C19-21),1982,N20_24,5,4,9
Rectum and anus (C19-21),1982,N25_29,11,14,25
Rectum and anus (C19-21),1982,N30_34,30,24,54
Rectum and anus (C19-21),1982,N35_39,50,56,106
Rectum and anus (C19-21),1982,N40_44,90,73,163
Rectum and anus (C19-21),1982,N45_49,197,158,355
Rectum and anus (C19-21),1982,N50_54,420,288,708
Rectum and anus (C19-21),1982,N55_59,684,457,1141
Rectum and anus (C19-21),1982,N60_64,887,664,1551
Rectum and anus (C19-21),1982,N65_69,1210,854,2064
Rectum and anus (C19-21),1982,N70_74,1424,986,2410
Rectum and anus (C19-21),1982,N75_79,1134,1034,2168
Rectum and anus (C19-21),1982,N80_84,662,838,1500
Rectum and anus (C19-21),1982,N85+,348,647,995
Rectum and anus (C19-21),1982,N_UNK,0,0,0
Rectum and anus (C19-21),1983,N0_4,0,2,2
Rectum and anus (C19-21),1983,N5_9,0,1,1
Rectum and anus (C19-21),1983,N10_14,0,0,0
Rectum and anus (C19-21),1983,N15_19,3,2,5
Rectum and anus (C19-21),1983,N20_24,13,9,22
Rectum and anus (C19-21),1983,N25_29,20,16,36
Rectum and anus (C19-21),1983,N30_34,26,34,60
Rectum and anus (C19-21),1983,N35_39,80,87,167
Rectum and anus (C19-21),1983,N40_44,141,126,267
Rectum and anus (C19-21),1983,N45_49,295,287,582
Rectum and anus (C19-21),1983,N50_54,578,412,990
Rectum and anus (C19-21),1983,N55_59,925,704,1629
Rectum and anus (C19-21),1983,N60_64,1345,930,2275
Rectum and anus (C19-21),1983,N65_69,1534,1100,2634
Rectum and anus (C19-21),1983,N70_74,1813,1449,3262
Rectum and anus (C19-21),1983,N75_79,1571,1309,2880
Rectum and anus (C19-21),1983,N80_84,902,1027,1929
Rectum and anus (C19-21),1983,N85+,445,784,1229
Rectum and anus (C19-21),1983,N_UNK,0,0,0
Rectum and anus (C19-21),1984,N0_4,0,0,0
Rectum and anus (C19-21),1984,N5_9,0,0,0
Rectum and anus (C19-21),1984,N10_14,0,0,0
Rectum and anus (C19-21),1984,N15_19,3,0,3
Rectum and anus (C19-21),1984,N20_24,7,5,12
Rectum and anus (C19-21),1984,N25_29,12,9,21
Rectum and anus (C19-21),1984,N30_34,30,26,56
Rectum and anus (C19-21),1984,N35_39,90,76,166
Rectum and anus (C19-21),1984,N40_44,162,124,286
Rectum and anus (C19-21),1984,N45_49,295,234,529
Rectum and anus (C19-21),1984,N50_54,560,398,958
Rectum and anus (C19-21),1984,N55_59,915,622,1537
Rectum and anus (C19-21),1984,N60_64,1402,964,2366
Rectum and anus (C19-21),1984,N65_69,1389,1022,2411
Rectum and anus (C19-21),1984,N70_74,1833,1427,3260
Rectum and anus (C19-21),1984,N75_79,1545,1423,2968
Rectum and anus (C19-21),1984,N80_84,862,1010,1872
Rectum and anus (C19-21),1984,N85+,426,839,1265
Rectum and anus (C19-21),1984,N_UNK,0,1,1
Rectum and anus (C19-21),1985,N0_4,1,0,1
Rectum and anus (C19-21),1985,N5_9,0,0,0
Rectum and anus (C19-21),1985,N10_14,0,0,0
Rectum and anus (C19-21),1985,N15_19,3,0,3
Rectum and anus (C19-21),1985,N20_24,5,10,15
Rectum and anus (C19-21),1985,N25_29,8,20,28
Rectum and anus (C19-21),1985,N30_34,39,26,65
Rectum and anus (C19-21),1985,N35_39,88,82,170
Rectum and anus (C19-21),1985,N40_44,169,137,306
Rectum and anus (C19-21),1985,N45_49,297,230,527
Rectum and anus (C19-21),1985,N50_54,582,350,932
Rectum and anus (C19-21),1985,N55_59,994,620,1614
Rectum and anus (C19-21),1985,N60_64,1497,981,2478
Rectum and anus (C19-21),1985,N65_69,1493,1036,2529
Rectum and anus (C19-21),1985,N70_74,1862,1464,3326
Rectum and anus (C19-21),1985,N75_79,1651,1403,3054
Rectum and anus (C19-21),1985,N80_84,962,1025,1987
Rectum and anus (C19-21),1985,N85+,470,877,1347
Rectum and anus (C19-21),1985,N_UNK,1,0,1
Rectum and anus (C19-21),1986,N0_4,0,0,0
Rectum and anus (C19-21),1986,N5_9,0,1,1
Rectum and anus (C19-21),1986,N10_14,0,1,1
Rectum and anus (C19-21),1986,N15_19,2,0,2
Rectum and anus (C19-21),1986,N20_24,5,4,9
Rectum and anus (C19-21),1986,N25_29,18,10,28
Rectum and anus (C19-21),1986,N30_34,40,33,73
Rectum and anus (C19-21),1986,N35_39,83,69,152
Rectum and anus (C19-21),1986,N40_44,191,133,324
Rectum and anus (C19-21),1986,N45_49,309,250,559
Rectum and anus (C19-21),1986,N50_54,567,385,952
Rectum and anus (C19-21),1986,N55_59,966,696,1662
Rectum and anus (C19-21),1986,N60_64,1435,977,2412
Rectum and anus (C19-21),1986,N65_69,1540,1052,2592
Rectum and anus (C19-21),1986,N70_74,1803,1366,3169
Rectum and anus (C19-21),1986,N75_79,1655,1426,3081
Rectum and anus (C19-21),1986,N80_84,958,1038,1996
Rectum and anus (C19-21),1986,N85+,458,909,1367
Rectum and anus (C19-21),1986,N_UNK,0,1,1
Rectum and anus (C19-21),1987,N0_4,0,0,0
Rectum and anus (C19-21),1987,N5_9,0,0,0
Rectum and anus (C19-21),1987,N10_14,0,0,0
Rectum and anus (C19-21),1987,N15_19,1,1,2
Rectum and anus (C19-21),1987,N20_24,6,5,11
Rectum and anus (C19-21),1987,N25_29,16,18,34
Rectum and anus (C19-21),1987,N30_34,32,42,74
Rectum and anus (C19-21),1987,N35_39,78,62,140
Rectum and anus (C19-21),1987,N40_44,186,149,335
Rectum and anus (C19-21),1987,N45_49,345,246,591
Rectum and anus (C19-21),1987,N50_54,577,386,963
Rectum and anus (C19-21),1987,N55_59,1083,648,1731
Rectum and anus (C19-21),1987,N60_64,1449,978,2427
Rectum and anus (C19-21),1987,N65_69,1627,1115,2742
Rectum and anus (C19-21),1987,N70_74,1737,1331,3068
Rectum and anus (C19-21),1987,N75_79,1588,1414,3002
Rectum and anus (C19-21),1987,N80_84,992,1116,2108
Rectum and anus (C19-21),1987,N85+,498,874,1372
Rectum and anus (C19-21),1987,N_UNK,1,0,1
Rectum and anus (C19-21),1988,N0_4,0,2,2
Rectum and anus (C19-21),1988,N5_9,0,0,0
Rectum and anus (C19-21),1988,N10_14,0,0,0
Rectum and anus (C19-21),1988,N15_19,4,4,8
Rectum and anus (C19-21),1988,N20_24,6,5,11
Rectum and anus (C19-21),1988,N25_29,18,14,32
Rectum and anus (C19-21),1988,N30_34,50,27,77
Rectum and anus (C19-21),1988,N35_39,109,95,204
Rectum and anus (C19-21),1988,N40_44,192,161,353
Rectum and anus (C19-21),1988,N45_49,359,261,620
Rectum and anus (C19-21),1988,N50_54,697,500,1197
Rectum and anus (C19-21),1988,N55_59,1172,782,1954
Rectum and anus (C19-21),1988,N60_64,1614,1068,2682
Rectum and anus (C19-21),1988,N65_69,2051,1322,3373
Rectum and anus (C19-21),1988,N70_74,1702,1349,3051
Rectum and anus (C19-21),1988,N75_79,1870,1622,3492
Rectum and anus (C19-21),1988,N80_84,1196,1291,2487
Rectum and anus (C19-21),1988,N85+,553,970,1523
Rectum and anus (C19-21),1988,N_UNK,12,14,26
Rectum and anus (C19-21),1989,N0_4,1,0,1
Rectum and anus (C19-21),1989,N5_9,0,0,0
Rectum and anus (C19-21),1989,N10_14,0,0,0
Rectum and anus (C19-21),1989,N15_19,1,3,4
Rectum and anus (C19-21),1989,N20_24,8,9,17
Rectum and anus (C19-21),1989,N25_29,20,16,36
Rectum and anus (C19-21),1989,N30_34,45,47,92
Rectum and anus (C19-21),1989,N35_39,100,95,195
Rectum and anus (C19-21),1989,N40_44,260,189,449
Rectum and anus (C19-21),1989,N45_49,427,346,773
Rectum and anus (C19-21),1989,N50_54,741,486,1227
Rectum and anus (C19-21),1989,N55_59,1274,806,2080
Rectum and anus (C19-21),1989,N60_64,1810,1231,3041
Rectum and anus (C19-21),1989,N65_69,2380,1612,3992
Rectum and anus (C19-21),1989,N70_74,1864,1525,3389
Rectum and anus (C19-21),1989,N75_79,2065,1877,3942
Rectum and anus (C19-21),1989,N80_84,1310,1455,2765
Rectum and anus (C19-21),1989,N85+,677,1159,1836
Rectum and anus (C19-21),1989,N_UNK,8,8,16
Rectum and anus (C19-21),1990,N0_4,0,0,0
Rectum and anus (C19-21),1990,N5_9,0,0,0
Rectum and anus (C19-21),1990,N10_14,0,0,0
Rectum and anus (C19-21),1990,N15_19,3,2,5
Rectum and anus (C19-21),1990,N20_24,8,6,14
Rectum and anus (C19-21),1990,N25_29,18,16,34
Rectum and anus (C19-21),1990,N30_34,43,52,95
Rectum and anus (C19-21),1990,N35_39,111,96,207
Rectum and anus (C19-21),1990,N40_44,226,201,427
Rectum and anus (C19-21),1990,N45_49,451,294,745
Rectum and anus (C19-21),1990,N50_54,825,530,1355
Rectum and anus (C19-21),1990,N55_59,1328,792,2120
Rectum and anus (C19-21),1990,N60_64,1771,1206,2977
Rectum and anus (C19-21),1990,N65_69,2223,1568,3791
Rectum and anus (C19-21),1990,N70_74,2062,1548,3610
Rectum and anus (C19-21),1990,N75_79,2113,1745,3858
Rectum and anus (C19-21),1990,N80_84,1371,1512,2883
Rectum and anus (C19-21),1990,N85+,727,1131,1858
Rectum and anus (C19-21),1990,N_UNK,6,2,8
Rectum and anus (C19-21),1991,N0_4,0,1,1
Rectum and anus (C19-21),1991,N5_9,0,0,0
Rectum and anus (C19-21),1991,N10_14,0,0,0
Rectum and anus (C19-21),1991,N15_19,1,0,1
Rectum and anus (C19-21),1991,N20_24,8,5,13
Rectum and anus (C19-21),1991,N25_29,16,19,35
Rectum and anus (C19-21),1991,N30_34,42,46,88
Rectum and anus (C19-21),1991,N35_39,112,86,198
Rectum and anus (C19-21),1991,N40_44,246,191,437
Rectum and anus (C19-21),1991,N45_49,455,340,795
Rectum and anus (C19-21),1991,N50_54,786,522,1308
Rectum and anus (C19-21),1991,N55_59,1332,826,2158
Rectum and anus (C19-21),1991,N60_64,1948,1177,3125
Rectum and anus (C19-21),1991,N65_69,2446,1629,4075
Rectum and anus (C19-21),1991,N70_74,2152,1603,3755
Rectum and anus (C19-21),1991,N75_79,1902,1750,3652
Rectum and anus (C19-21),1991,N80_84,1377,1486,2863
Rectum and anus (C19-21),1991,N85+,712,1190,1902
Rectum and anus (C19-21),1991,N_UNK,5,1,6
Rectum and anus (C19-21),1992,N0_4,0,1,1
Rectum and anus (C19-21),1992,N5_9,0,0,0
Rectum and anus (C19-21),1992,N10_14,0,0,0
Rectum and anus (C19-21),1992,N15_19,1,3,4
Rectum and anus (C19-21),1992,N20_24,7,4,11
Rectum and anus (C19-21),1992,N25_29,29,13,42
Rectum and anus (C19-21),1992,N30_34,56,45,101
Rectum and anus (C19-21),1992,N35_39,109,100,209
Rectum and anus (C19-21),1992,N40_44,242,215,457
Rectum and anus (C19-21),1992,N45_49,518,342,860
Rectum and anus (C19-21),1992,N50_54,889,541,1430
Rectum and anus (C19-21),1992,N55_59,1337,879,2216
Rectum and anus (C19-21),1992,N60_64,2043,1204,3247
Rectum and anus (C19-21),1992,N65_69,2488,1653,4141
Rectum and anus (C19-21),1992,N70_74,2421,1696,4117
Rectum and anus (C19-21),1992,N75_79,1975,1806,3781
Rectum and anus (C19-21),1992,N80_84,1427,1506,2933
Rectum and anus (C19-21),1992,N85+,770,1276,2046
Rectum and anus (C19-21),1992,N_UNK,1,1,2
Rectum and anus (C19-21),1993,N0_4,0,1,1
Rectum and anus (C19-21),1993,N5_9,0,0,0
Rectum and anus (C19-21),1993,N10_14,0,0,0
Rectum and anus (C19-21),1993,N15_19,0,0,0
Rectum and anus (C19-21),1993,N20_24,7,9,16
Rectum and anus (C19-21),1993,N25_29,25,32,57
Rectum and anus (C19-21),1993,N30_34,36,53,89
Rectum and anus (C19-21),1993,N35_39,110,97,207
Rectum and anus (C19-21),1993,N40_44,228,210,438
Rectum and anus (C19-21),1993,N45_49,550,403,953
Rectum and anus (C19-21),1993,N50_54,833,573,1406
Rectum and anus (C19-21),1993,N55_59,1409,883,2292
Rectum and anus (C19-21),1993,N60_64,2106,1203,3309
Rectum and anus (C19-21),1993,N65_69,2595,1720,4315
Rectum and anus (C19-21),1993,N70_74,2746,1831,4577
Rectum and anus (C19-21),1993,N75_79,1946,1597,3543
Rectum and anus (C19-21),1993,N80_84,1484,1567,3051
Rectum and anus (C19-21),1993,N85+,800,1400,2200
Rectum and anus (C19-21),1993,N_UNK,2,1,3
Rectum and anus (C19-21),1994,N0_4,1,0,1
Rectum and anus (C19-21),1994,N5_9,0,0,0
Rectum and anus (C19-21),1994,N10_14,0,0,0
Rectum and anus (C19-21),1994,N15_19,2,1,3
Rectum and anus (C19-21),1994,N20_24,8,8,16
Rectum and anus (C19-21),1994,N25_29,22,19,41
Rectum and anus (C19-21),1994,N30_34,59,48,107
Rectum and anus (C19-21),1994,N35_39,109,115,224
Rectum and anus (C19-21),1994,N40_44,279,221,500
Rectum and anus (C19-21),1994,N45_49,530,384,914
Rectum and anus (C19-21),1994,N50_54,931,602,1533
Rectum and anus (C19-21),1994,N55_59,1505,914,2419
Rectum and anus (C19-21),1994,N60_64,2245,1278,3523
Rectum and anus (C19-21),1994,N65_69,2637,1696,4333
Rectum and anus (C19-21),1994,N70_74,2851,2117,4968
Rectum and anus (C19-21),1994,N75_79,1932,1601,3533
Rectum and anus (C19-21),1994,N80_84,1583,1677,3260
Rectum and anus (C19-21),1994,N85+,851,1342,2193
Rectum and anus (C19-21),1994,N_UNK,2,2,4
Rectum and anus (C19-21),1995,N0_4,0,0,0
Rectum and anus (C19-21),1995,N5_9,0,0,0
Rectum and anus (C19-21),1995,N10_14,0,0,0
Rectum and anus (C19-21),1995,N15_19,2,0,2
Rectum and anus (C19-21),1995,N20_24,4,12,16
Rectum and anus (C19-21),1995,N25_29,15,11,26
Rectum and anus (C19-21),1995,N30_34,51,56,107
Rectum and anus (C19-21),1995,N35_39,110,104,214
Rectum and anus (C19-21),1995,N40_44,266,241,507
Rectum and anus (C19-21),1995,N45_49,566,440,1006
Rectum and anus (C19-21),1995,N50_54,988,604,1592
Rectum and anus (C19-21),1995,N55_59,1518,923,2441
Rectum and anus (C19-21),1995,N60_64,2199,1257,3456
Rectum and anus (C19-21),1995,N65_69,2790,1685,4475
Rectum and anus (C19-21),1995,N70_74,2886,2107,4993
Rectum and anus (C19-21),1995,N75_79,2038,1692,3730
Rectum and anus (C19-21),1995,N80_84,1587,1661,3248
Rectum and anus (C19-21),1995,N85+,845,1385,2230
Rectum and anus (C19-21),1995,N_UNK,11,10,21
Rectum and anus (C19-21),1996,N0_4,0,0,0
Rectum and anus (C19-21),1996,N5_9,1,0,1
Rectum and anus (C19-21),1996,N10_14,0,0,0
Rectum and anus (C19-21),1996,N15_19,2,2,4
Rectum and anus (C19-21),1996,N20_24,4,7,11
Rectum and anus (C19-21),1996,N25_29,29,24,53
Rectum and anus (C19-21),1996,N30_34,47,53,100
Rectum and anus (C19-21),1996,N35_39,114,127,241
Rectum and anus (C19-21),1996,N40_44,250,234,484
Rectum and anus (C19-21),1996,N45_49,599,430,1029
Rectum and anus (C19-21),1996,N50_54,1022,668,1690
Rectum and anus (C19-21),1996,N55_59,1579,882,2461
Rectum and anus (C19-21),1996,N60_64,2334,1339,3673
Rectum and anus (C19-21),1996,N65_69,2946,1694,4640
Rectum and anus (C19-21),1996,N70_74,3050,2134,5184
Rectum and anus (C19-21),1996,N75_79,2190,1714,3904
Rectum and anus (C19-21),1996,N80_84,1418,1618,3036
Rectum and anus (C19-21),1996,N85+,964,1482,2446
Rectum and anus (C19-21),1996,N_UNK,3,3,6
Rectum and anus (C19-21),1997,N0_4,0,0,0
Rectum and anus (C19-21),1997,N5_9,0,0,0
Rectum and anus (C19-21),1997,N10_14,1,0,1
Rectum and anus (C19-21),1997,N15_19,3,3,6
Rectum and anus (C19-21),1997,N20_24,7,5,12
Rectum and anus (C19-21),1997,N25_29,26,22,48
Rectum and anus (C19-21),1997,N30_34,57,70,127
Rectum and anus (C19-21),1997,N35_39,124,126,250
Rectum and anus (C19-21),1997,N40_44,271,243,514
Rectum and anus (C19-21),1997,N45_49,616,459,1075
Rectum and anus (C19-21),1997,N50_54,1113,710,1823
Rectum and anus (C19-21),1997,N55_59,1608,961,2569
Rectum and anus (C19-21),1997,N60_64,2364,1336,3700
Rectum and anus (C19-21),1997,N65_69,3057,1731,4788
Rectum and anus (C19-21),1997,N70_74,3083,2049,5132
Rectum and anus (C19-21),1997,N75_79,2415,2065,4480
Rectum and anus (C19-21),1997,N80_84,1535,1559,3094
Rectum and anus (C19-21),1997,N85+,892,1562,2454
Rectum and anus (C19-21),1997,N_UNK,2,2,4
Rectum and anus (C19-21),1998,N0_4,0,0,0
Rectum and anus (C19-21),1998,N5_9,0,0,0
Rectum and anus (C19-21),1998,N10_14,0,2,2
Rectum and anus (C19-21),1998,N15_19,3,0,3
Rectum and anus (C19-21),1998,N20_24,12,12,24
Rectum and anus (C19-21),1998,N25_29,34,19,53
Rectum and anus (C19-21),1998,N30_34,56,53,109
Rectum and anus (C19-21),1998,N35_39,141,153,294
Rectum and anus (C19-21),1998,N40_44,280,282,562
Rectum and anus (C19-21),1998,N45_49,652,480,1132
Rectum and anus (C19-21),1998,N50_54,1242,887,2129
Rectum and anus (C19-21),1998,N55_59,1839,1056,2895
Rectum and anus (C19-21),1998,N60_64,2568,1488,4056
Rectum and anus (C19-21),1998,N65_69,3395,1935,5330
Rectum and anus (C19-21),1998,N70_74,3424,2335,5759
Rectum and anus (C19-21),1998,N75_79,2815,2438,5253
Rectum and anus (C19-21),1998,N80_84,1594,1678,3272
Rectum and anus (C19-21),1998,N85+,1088,1715,2803
Rectum and anus (C19-21),1998,N_UNK,7,2,9
Rectum and anus (C19-21),1999,N0_4,0,0,0
Rectum and anus (C19-21),1999,N5_9,0,0,0
Rectum and anus (C19-21),1999,N10_14,1,0,1
Rectum and anus (C19-21),1999,N15_19,1,4,5
Rectum and anus (C19-21),1999,N20_24,7,7,14
Rectum and anus (C19-21),1999,N25_29,19,32,51
Rectum and anus (C19-21),1999,N30_34,66,74,140
Rectum and anus (C19-21),1999,N35_39,151,150,301
Rectum and anus (C19-21),1999,N40_44,314,300,614
Rectum and anus (C19-21),1999,N45_49,657,523,1180
Rectum and anus (C19-21),1999,N50_54,1280,889,2169
Rectum and anus (C19-21),1999,N55_59,1915,1093,3008
Rectum and anus (C19-21),1999,N60_64,2682,1528,4210
Rectum and anus (C19-21),1999,N65_69,3299,1957,5256
Rectum and anus (C19-21),1999,N70_74,3405,2396,5801
Rectum and anus (C19-21),1999,N75_79,2968,2520,5488
Rectum and anus (C19-21),1999,N80_84,1553,1537,3090
Rectum and anus (C19-21),1999,N85+,1124,1803,2927
Rectum and anus (C19-21),1999,N_UNK,2,2,4
Rectum and anus (C19-21),2000,N0_4,0,0,0
Rectum and anus (C19-21),2000,N5_9,0,0,0
Rectum and anus (C19-21),2000,N10_14,1,1,2
Rectum and anus (C19-21),2000,N15_19,1,3,4
Rectum and anus (C19-21),2000,N20_24,10,10,20
Rectum and anus (C19-21),2000,N25_29,20,21,41
Rectum and anus (C19-21),2000,N30_34,62,65,127
Rectum and anus (C19-21),2000,N35_39,161,150,311
Rectum and anus (C19-21),2000,N40_44,315,268,583
Rectum and anus (C19-21),2000,N45_49,637,509,1146
Rectum and anus (C19-21),2000,N50_54,1357,889,2246
Rectum and anus (C19-21),2000,N55_59,1945,1092,3037
Rectum and anus (C19-21),2000,N60_64,2792,1492,4284
Rectum and anus (C19-21),2000,N65_69,3417,1881,5298
Rectum and anus (C19-21),2000,N70_74,3549,2275,5824
Rectum and anus (C19-21),2000,N75_79,2999,2513,5512
Rectum and anus (C19-21),2000,N80_84,1628,1679,3307
Rectum and anus (C19-21),2000,N85+,1119,1834,2953
Rectum and anus (C19-21),2000,N_UNK,1,0,1
