cancer_classification,SEX_CHARACTER,YEAR,Age_Group,Cases_by_Age,TOTAL
Bladder (C67),M,1983,N75_79,1919,12114
Bladder (C67),M,1984,N75_79,2111,12310
Bladder (C67),M,1985,N75_79,2057,12746
Bladder (C67),M,1986,N75_79,2180,12884
Bladder (C67),M,1987,N75_79,2264,13745
Bladder (C67),M,1988,N75_79,2631,15430
Bladder (C67),M,1989,N75_79,3012,18042
Bladder (C67),M,1990,N75_79,2969,18543
Bladder (C67),M,1991,N75_79,3100,18970
Bladder (C67),M,1992,N75_79,3079,19659
Bladder (C67),M,1993,N75_79,3115,21068
Bladder (C67),M,1994,N75_79,3147,22130
Bladder (C67),M,1995,N75_79,3123,21466
Bladder (C67),M,1996,N75_79,3321,21230
Bladder (C67),M,1997,N75_79,3524,21474
Bladder (C67),M,1998,N75_79,4139,23945
Bladder (C67),M,1999,N75_79,4451,24482
Bladder (C67),M,2000,N75_79,4204,23299
Bladder (C67),M,2001,N75_79,4220,23391
Bladder (C67),M,2002,N75_79,4172,23521
Bladder (C67),M,2003,N75_79,4802,26332
Bladder (C67),M,2004,N75_79,4806,26305
Bladder (C67),M,2005,N75_79,4674,26509
Bladder (C67),M,2006,N75_79,4914,27024
Bladder (C67),M,2007,N75_79,4888,27532
Bladder (C67),M,2008,N75_79,4945,28385
Bladder (C67),M,2009,N75_79,5086,29433
Bladder (C67),M,2010,N75_79,5025,29724
Bladder (C67),M,2011,N75_79,5071,30312
Bladder (C67),M,2012,N75_79,5263,30947
Bladder (C67),M,2013,N75_79,5367,31453
Bladder (C67),M,2014,N75_79,5516,31662
Bladder (C67),M,2015,N75_79,5597,31905
Bladder (C67),M,2016,N75_79,5601,32410
Bladder (C67),M,2017,N75_79,5445,30360
Bladder (C67),F,1953,N75_79,31,143
Bladder (C67),F,1954,N75_79,25,165
Bladder (C67),F,1955,N75_79,24,165
Bladder (C67),F,1956,N75_79,31,199
Bladder (C67),F,1957,N75_79,30,209
Bladder (C67),F,1958,N75_79,35,226
Bladder (C67),F,1959,N75_79,33,206
Bladder (C67),F,1960,N75_79,32,220
Bladder (C67),F,1961,N75_79,39,241
Bladder (C67),F,1962,N75_79,34,243
Bladder (C67),F,1963,N75_79,47,244
Bladder (C67),F,1964,N75_79,43,267
Bladder (C67),F,1965,N75_79,40,284
Bladder (C67),F,1966,N75_79,39,294
Bladder (C67),F,1967,N75_79,56,294
Bladder (C67),F,1968,N75_79,51,353
Bladder (C67),F,1969,N75_79,49,327
Bladder (C67),F,1970,N75_79,61,368
Bladder (C67),F,1971,N75_79,354,2277
Bladder (C67),F,1972,N75_79,366,2294
Bladder (C67),F,1973,N75_79,424,2477
Bladder (C67),F,1974,N75_79,458,2630
Bladder (C67),F,1975,N75_79,405,2508
Bladder (C67),F,1976,N75_79,457,2712
Bladder (C67),F,1977,N75_79,489,2861
Bladder (C67),F,1978,N75_79,509,3179
Bladder (C67),F,1979,N75_79,624,3588
Bladder (C67),F,1980,N75_79,595,3611
Bladder (C67),F,1981,N75_79,693,3840
Bladder (C67),F,1982,N75_79,673,3823
Bladder (C67),F,1983,N75_79,758,4320
Bladder (C67),F,1984,N75_79,754,4389
Bladder (C67),F,1985,N75_79,818,4624
Bladder (C67),F,1986,N75_79,811,4830
Bladder (C67),F,1987,N75_79,849,4815
Bladder (C67),F,1988,N75_79,964,5308
Bladder (C67),F,1989,N75_79,1090,6370
Bladder (C67),F,1990,N75_79,1084,6104
Bladder (C67),F,1991,N75_79,1122,6387
Bladder (C67),F,1992,N75_79,1077,6670
Bladder (C67),F,1993,N75_79,1157,7044
Bladder (C67),F,1994,N75_79,1096,7283
Bladder (C67),F,1995,N75_79,1069,7044
Bladder (C67),F,1996,N75_79,1109,7098
Bladder (C67),F,1997,N75_79,1133,7215
Bladder (C67),F,1998,N75_79,1346,7843
Bladder (C67),F,1999,N75_79,1453,8037
Bladder (C67),F,2000,N75_79,1372,7593
Bladder (C67),F,2001,N75_79,1384,7716
Bladder (C67),F,2002,N75_79,1309,7665
Bladder (C67),F,2003,N75_79,1536,8587
Bladder (C67),F,2004,N75_79,1543,8650
Bladder (C67),F,2005,N75_79,1522,8732
Bladder (C67),F,2006,N75_79,1442,8885
Bladder (C67),F,2007,N75_79,1513,9011
Bladder (C67),F,2008,N75_79,1538,9277
Bladder (C67),F,2009,N75_79,1549,9532
Bladder (C67),F,2010,N75_79,1572,9662
Bladder (C67),F,2011,N75_79,1609,9826
Bladder (C67),F,2012,N75_79,1556,9973
Bladder (C67),F,2013,N75_79,1619,10063
Bladder (C67),F,2014,N75_79,1618,10246
Bladder (C67),F,2015,N75_79,1654,10437
Bladder (C67),F,2016,N75_79,1671,10561
Bladder (C67),F,2017,N75_79,1600,9934
Eye (C69),M,1953,N75_79,4,35
Eye (C69),M,1954,N75_79,4,45
Eye (C69),M,1955,N75_79,3,44
Eye (C69),M,1956,N75_79,1,44
Eye (C69),M,1957,N75_79,6,44
Eye (C69),M,1958,N75_79,1,36
Eye (C69),M,1959,N75_79,4,57
Eye (C69),M,1960,N75_79,6,51
Eye (C69),M,1961,N75_79,4,47
Eye (C69),M,1962,N75_79,8,44
Eye (C69),M,1963,N75_79,4,46
Eye (C69),M,1964,N75_79,2,49
Eye (C69),M,1965,N75_79,8,61
Eye (C69),M,1966,N75_79,1,54
Eye (C69),M,1967,N75_79,2,53
Eye (C69),M,1968,N75_79,5,57
Eye (C69),M,1969,N75_79,4,63
Eye (C69),M,1970,N75_79,4,67
Eye (C69),M,1971,N75_79,3,231
Eye (C69),M,1972,N75_79,16,198
Eye (C69),M,1973,N75_79,15,236
Eye (C69),M,1974,N75_79,15,219
Eye (C69),M,1975,N75_79,17,214
Eye (C69),M,1976,N75_79,13,244
Eye (C69),M,1977,N75_79,25,255
Eye (C69),M,1978,N75_79,20,266
Eye (C69),M,1979,N75_79,21,265
Eye (C69),M,1980,N75_79,16,251
Eye (C69),M,1981,N75_79,26,283
Eye (C69),M,1982,N75_79,24,248
Eye (C69),M,1983,N75_79,22,342
Eye (C69),M,1984,N75_79,27,362
Eye (C69),M,1985,N75_79,31,354
Eye (C69),M,1986,N75_79,37,413
Eye (C69),M,1987,N75_79,34,375
Eye (C69),M,1988,N75_79,50,487
Eye (C69),M,1989,N75_79,57,559
Eye (C69),M,1990,N75_79,41,567
Eye (C69),M,1991,N75_79,53,609
Eye (C69),M,1992,N75_79,43,576
Eye (C69),M,1993,N75_79,45,607
Eye (C69),M,1994,N75_79,48,595
Eye (C69),M,1995,N75_79,61,674
Eye (C69),M,1996,N75_79,57,643
Eye (C69),M,1997,N75_79,63,649
Eye (C69),M,1998,N75_79,53,718
Eye (C69),M,1999,N75_79,61,671
Eye (C69),M,2000,N75_79,60,748
Eye (C69),M,2001,N75_79,69,720
Eye (C69),M,2002,N75_79,65,752
Eye (C69),M,2003,N75_79,83,788
Eye (C69),M,2004,N75_79,70,838
Eye (C69),M,2005,N75_79,94,841
Eye (C69),M,2006,N75_79,76,821
Eye (C69),M,2007,N75_79,81,818
Eye (C69),M,2008,N75_79,79,846
Eye (C69),M,2009,N75_79,74,873
Eye (C69),M,2010,N75_79,102,931
Eye (C69),M,2011,N75_79,80,856
Eye (C69),M,2012,N75_79,105,892
Eye (C69),M,2013,N75_79,111,1007
Eye (C69),M,2014,N75_79,95,1016
Eye (C69),M,2015,N75_79,106,1016
Eye (C69),M,2016,N75_79,110,1095
Eye (C69),M,2017,N75_79,106,1070
Eye (C69),F,1953,N75_79,4,44
Eye (C69),F,1954,N75_79,5,35
Eye (C69),F,1955,N75_79,0,28
Eye (C69),F,1956,N75_79,4,49
Eye (C69),F,1957,N75_79,4,33
Eye (C69),F,1958,N75_79,2,48
Eye (C69),F,1959,N75_79,5,41
Eye (C69),F,1960,N75_79,5,49
Eye (C69),F,1961,N75_79,2,41
Eye (C69),F,1962,N75_79,2,39
Eye (C69),F,1963,N75_79,4,43
Eye (C69),F,1964,N75_79,1,51
Eye (C69),F,1965,N75_79,2,46
Eye (C69),F,1966,N75_79,2,39
Eye (C69),F,1967,N75_79,6,54
Eye (C69),F,1968,N75_79,5,49
Eye (C69),F,1969,N75_79,3,50
Eye (C69),F,1970,N75_79,3,53
Eye (C69),F,1971,N75_79,17,206
Eye (C69),F,1972,N75_79,18,199
Eye (C69),F,1973,N75_79,20,241
Eye (C69),F,1974,N75_79,22,220
Eye (C69),F,1975,N75_79,29,215
Eye (C69),F,1976,N75_79,20,213
Eye (C69),F,1977,N75_79,13,202
Eye (C69),F,1978,N75_79,25,230
Eye (C69),F,1979,N75_79,22,233
Eye (C69),F,1980,N75_79,19,246
Eye (C69),F,1981,N75_79,29,262
Eye (C69),F,1982,N75_79,25,272
Eye (C69),F,1983,N75_79,40,352
Eye (C69),F,1984,N75_79,29,345
Eye (C69),F,1985,N75_79,41,353
Eye (C69),F,1986,N75_79,43,364
Eye (C69),F,1987,N75_79,39,424
Eye (C69),F,1988,N75_79,47,446
Eye (C69),F,1989,N75_79,65,548
Eye (C69),F,1990,N75_79,57,603
Eye (C69),F,1991,N75_79,48,556
Eye (C69),F,1992,N75_79,66,572
Eye (C69),F,1993,N75_79,54,610
Eye (C69),F,1994,N75_79,48,574
Eye (C69),F,1995,N75_79,54,636
Eye (C69),F,1996,N75_79,65,616
Eye (C69),F,1997,N75_79,78,693
Eye (C69),F,1998,N75_79,65,642
Eye (C69),F,1999,N75_79,81,725
Eye (C69),F,2000,N75_79,96,772
Eye (C69),F,2001,N75_79,73,680
Eye (C69),F,2002,N75_79,85,702
Eye (C69),F,2003,N75_79,89,791
Eye (C69),F,2004,N75_79,89,829
Eye (C69),F,2005,N75_79,82,745
Eye (C69),F,2006,N75_79,100,795
Eye (C69),F,2007,N75_79,85,811
Eye (C69),F,2008,N75_79,70,769
Eye (C69),F,2009,N75_79,85,834
Eye (C69),F,2010,N75_79,98,877
Eye (C69),F,2011,N75_79,86,875
Eye (C69),F,2012,N75_79,92,840
Eye (C69),F,2013,N75_79,99,954
Eye (C69),F,2014,N75_79,96,966
Eye (C69),F,2015,N75_79,104,1009
Eye (C69),F,2016,N75_79,111,1022
Eye (C69),F,2017,N75_79,98,1010
"Brain, central nervous system (C70-72)",M,1953,N75_79,4,228
"Brain, central nervous system (C70-72)",M,1954,N75_79,1,225
"Brain, central nervous system (C70-72)",M,1955,N75_79,3,266
"Brain, central nervous system (C70-72)",M,1956,N75_79,8,276
"Brain, central nervous system (C70-72)",M,1957,N75_79,13,318
"Brain, central nervous system (C70-72)",M,1958,N75_79,8,297
"Brain, central nervous system (C70-72)",M,1959,N75_79,6,326
"Brain, central nervous system (C70-72)",M,1960,N75_79,8,328
"Brain, central nervous system (C70-72)",M,1961,N75_79,7,313
"Brain, central nervous system (C70-72)",M,1962,N75_79,7,307
"Brain, central nervous system (C70-72)",M,1963,N75_79,14,320
"Brain, central nervous system (C70-72)",M,1964,N75_79,6,345
"Brain, central nervous system (C70-72)",M,1965,N75_79,6,347
"Brain, central nervous system (C70-72)",M,1966,N75_79,7,314
"Brain, central nervous system (C70-72)",M,1967,N75_79,13,370
"Brain, central nervous system (C70-72)",M,1968,N75_79,11,386
"Brain, central nervous system (C70-72)",M,1969,N75_79,8,365
"Brain, central nervous system (C70-72)",M,1970,N75_79,11,356
"Brain, central nervous system (C70-72)",M,1971,N75_79,30,1719
"Brain, central nervous system (C70-72)",M,1972,N75_79,32,1735
"Brain, central nervous system (C70-72)",M,1973,N75_79,40,1679
"Brain, central nervous system (C70-72)",M,1974,N75_79,51,1724
"Brain, central nervous system (C70-72)",M,1975,N75_79,35,1758
"Brain, central nervous system (C70-72)",M,1976,N75_79,46,1738
"Brain, central nervous system (C70-72)",M,1977,N75_79,60,1847
"Brain, central nervous system (C70-72)",M,1978,N75_79,58,1911
"Brain, central nervous system (C70-72)",M,1979,N75_79,71,2101
"Brain, central nervous system (C70-72)",M,1980,N75_79,98,2129
"Brain, central nervous system (C70-72)",M,1981,N75_79,80,2167
"Brain, central nervous system (C70-72)",M,1982,N75_79,94,2091
"Brain, central nervous system (C70-72)",M,1983,N75_79,107,2709
"Brain, central nervous system (C70-72)",M,1984,N75_79,132,2827
"Brain, central nervous system (C70-72)",M,1985,N75_79,147,2923
"Brain, central nervous system (C70-72)",M,1986,N75_79,130,2992
"Brain, central nervous system (C70-72)",M,1987,N75_79,153,3178
"Brain, central nervous system (C70-72)",M,1988,N75_79,193,3548
"Brain, central nervous system (C70-72)",M,1989,N75_79,206,4110
"Brain, central nervous system (C70-72)",M,1990,N75_79,223,4326
"Brain, central nervous system (C70-72)",M,1991,N75_79,232,4315
"Brain, central nervous system (C70-72)",M,1992,N75_79,237,4361
"Brain, central nervous system (C70-72)",M,1993,N75_79,246,4795
"Brain, central nervous system (C70-72)",M,1994,N75_79,287,5004
"Brain, central nervous system (C70-72)",M,1995,N75_79,305,5052
"Brain, central nervous system (C70-72)",M,1996,N75_79,318,5245
"Brain, central nervous system (C70-72)",M,1997,N75_79,369,5328
"Brain, central nervous system (C70-72)",M,1998,N75_79,426,5699
"Brain, central nervous system (C70-72)",M,1999,N75_79,443,6045
"Brain, central nervous system (C70-72)",M,2000,N75_79,500,6137
"Brain, central nervous system (C70-72)",M,2001,N75_79,493,6140
"Brain, central nervous system (C70-72)",M,2002,N75_79,541,6192
"Brain, central nervous system (C70-72)",M,2003,N75_79,526,6592
"Brain, central nervous system (C70-72)",M,2004,N75_79,591,6711
"Brain, central nervous system (C70-72)",M,2005,N75_79,576,6921
"Brain, central nervous system (C70-72)",M,2006,N75_79,590,7034
"Brain, central nervous system (C70-72)",M,2007,N75_79,604,7202
"Brain, central nervous system (C70-72)",M,2008,N75_79,666,7431
"Brain, central nervous system (C70-72)",M,2009,N75_79,681,7547
"Brain, central nervous system (C70-72)",M,2010,N75_79,702,7704
"Brain, central nervous system (C70-72)",M,2011,N75_79,690,7564
"Brain, central nervous system (C70-72)",M,2012,N75_79,682,7656
"Brain, central nervous system (C70-72)",M,2013,N75_79,771,7976
"Brain, central nervous system (C70-72)",M,2014,N75_79,707,7913
"Brain, central nervous system (C70-72)",M,2015,N75_79,749,8113
"Brain, central nervous system (C70-72)",M,2016,N75_79,762,8296
"Brain, central nervous system (C70-72)",M,2017,N75_79,771,8059
"Brain, central nervous system (C70-72)",F,1953,N75_79,3,188
"Brain, central nervous system (C70-72)",F,1954,N75_79,5,215
"Brain, central nervous system (C70-72)",F,1955,N75_79,8,229
"Brain, central nervous system (C70-72)",F,1956,N75_79,2,262
"Brain, central nervous system (C70-72)",F,1957,N75_79,12,260
"Brain, central nervous system (C70-72)",F,1958,N75_79,7,258
"Brain, central nervous system (C70-72)",F,1959,N75_79,11,266
"Brain, central nervous system (C70-72)",F,1960,N75_79,8,276
"Brain, central nervous system (C70-72)",F,1961,N75_79,8,299
"Brain, central nervous system (C70-72)",F,1962,N75_79,15,290
"Brain, central nervous system (C70-72)",F,1963,N75_79,11,299
"Brain, central nervous system (C70-72)",F,1964,N75_79,10,276
"Brain, central nervous system (C70-72)",F,1965,N75_79,12,291
"Brain, central nervous system (C70-72)",F,1966,N75_79,9,276
"Brain, central nervous system (C70-72)",F,1967,N75_79,10,317
"Brain, central nervous system (C70-72)",F,1968,N75_79,18,336
"Brain, central nervous system (C70-72)",F,1969,N75_79,18,314
"Brain, central nervous system (C70-72)",F,1970,N75_79,21,321
"Brain, central nervous system (C70-72)",F,1971,N75_79,42,1327
"Brain, central nervous system (C70-72)",F,1972,N75_79,52,1297
"Brain, central nervous system (C70-72)",F,1973,N75_79,52,1292
"Brain, central nervous system (C70-72)",F,1974,N75_79,46,1394
"Brain, central nervous system (C70-72)",F,1975,N75_79,47,1344
"Brain, central nervous system (C70-72)",F,1976,N75_79,59,1443
"Brain, central nervous system (C70-72)",F,1977,N75_79,76,1494
"Brain, central nervous system (C70-72)",F,1978,N75_79,63,1462
"Brain, central nervous system (C70-72)",F,1979,N75_79,79,1557
"Brain, central nervous system (C70-72)",F,1980,N75_79,112,1697
"Brain, central nervous system (C70-72)",F,1981,N75_79,87,1674
"Brain, central nervous system (C70-72)",F,1982,N75_79,90,1642
"Brain, central nervous system (C70-72)",F,1983,N75_79,121,2189
"Brain, central nervous system (C70-72)",F,1984,N75_79,118,2207
"Brain, central nervous system (C70-72)",F,1985,N75_79,140,2269
"Brain, central nervous system (C70-72)",F,1986,N75_79,156,2251
"Brain, central nervous system (C70-72)",F,1987,N75_79,137,2392
"Brain, central nervous system (C70-72)",F,1988,N75_79,163,2844
"Brain, central nervous system (C70-72)",F,1989,N75_79,217,3276
"Brain, central nervous system (C70-72)",F,1990,N75_79,220,3343
"Brain, central nervous system (C70-72)",F,1991,N75_79,223,3341
"Brain, central nervous system (C70-72)",F,1992,N75_79,248,3540
"Brain, central nervous system (C70-72)",F,1993,N75_79,254,3843
"Brain, central nervous system (C70-72)",F,1994,N75_79,318,3982
"Brain, central nervous system (C70-72)",F,1995,N75_79,311,4035
"Brain, central nervous system (C70-72)",F,1996,N75_79,359,4102
"Brain, central nervous system (C70-72)",F,1997,N75_79,361,4128
"Brain, central nervous system (C70-72)",F,1998,N75_79,471,4625
"Brain, central nervous system (C70-72)",F,1999,N75_79,471,4799
"Brain, central nervous system (C70-72)",F,2000,N75_79,542,5053
"Brain, central nervous system (C70-72)",F,2001,N75_79,497,4966
"Brain, central nervous system (C70-72)",F,2002,N75_79,519,5114
"Brain, central nervous system (C70-72)",F,2003,N75_79,518,5438
"Brain, central nervous system (C70-72)",F,2004,N75_79,577,5294
"Brain, central nervous system (C70-72)",F,2005,N75_79,603,5514
"Brain, central nervous system (C70-72)",F,2006,N75_79,580,5666
"Brain, central nervous system (C70-72)",F,2007,N75_79,566,5793
"Brain, central nervous system (C70-72)",F,2008,N75_79,648,6019
"Brain, central nervous system (C70-72)",F,2009,N75_79,646,6146
"Brain, central nervous system (C70-72)",F,2010,N75_79,688,6224
"Brain, central nervous system (C70-72)",F,2011,N75_79,654,6187
"Brain, central nervous system (C70-72)",F,2012,N75_79,637,6056
"Brain, central nervous system (C70-72)",F,2013,N75_79,646,6416
"Brain, central nervous system (C70-72)",F,2014,N75_79,655,6388
"Brain, central nervous system (C70-72)",F,2015,N75_79,698,6460
"Brain, central nervous system (C70-72)",F,2016,N75_79,640,6450
"Brain, central nervous system (C70-72)",F,2017,N75_79,701,6332
Thyroid (C73),M,1953,N75_79,2,25
Thyroid (C73),M,1954,N75_79,3,39
Thyroid (C73),M,1955,N75_79,2,22
Thyroid (C73),M,1956,N75_79,3,29
Thyroid (C73),M,1957,N75_79,3,31
Thyroid (C73),M,1958,N75_79,3,35
Thyroid (C73),M,1959,N75_79,5,53
Thyroid (C73),M,1960,N75_79,7,62
Thyroid (C73),M,1961,N75_79,3,36
Thyroid (C73),M,1962,N75_79,4,54
Thyroid (C73),M,1963,N75_79,5,40
Thyroid (C73),M,1964,N75_79,5,40
Thyroid (C73),M,1965,N75_79,6,49
Thyroid (C73),M,1966,N75_79,7,67
Thyroid (C73),M,1967,N75_79,5,64
Thyroid (C73),M,1968,N75_79,8,69
Thyroid (C73),M,1969,N75_79,4,79
Thyroid (C73),M,1970,N75_79,8,80
Thyroid (C73),M,1971,N75_79,23,213
Thyroid (C73),M,1972,N75_79,15,245
Thyroid (C73),M,1973,N75_79,28,265
Thyroid (C73),M,1974,N75_79,9,239
Thyroid (C73),M,1975,N75_79,21,274
Thyroid (C73),M,1976,N75_79,18,278
Thyroid (C73),M,1977,N75_79,33,300
Thyroid (C73),M,1978,N75_79,27,287
Thyroid (C73),M,1979,N75_79,29,302
Thyroid (C73),M,1980,N75_79,37,355
Thyroid (C73),M,1981,N75_79,30,335
Thyroid (C73),M,1982,N75_79,35,365
Thyroid (C73),M,1983,N75_79,28,466
Thyroid (C73),M,1984,N75_79,38,496
Thyroid (C73),M,1985,N75_79,38,505
Thyroid (C73),M,1986,N75_79,43,527
Thyroid (C73),M,1987,N75_79,38,558
Thyroid (C73),M,1988,N75_79,46,631
Thyroid (C73),M,1989,N75_79,51,717
Thyroid (C73),M,1990,N75_79,48,787
Thyroid (C73),M,1991,N75_79,49,823
Thyroid (C73),M,1992,N75_79,47,784
Thyroid (C73),M,1993,N75_79,41,896
Thyroid (C73),M,1994,N75_79,70,963
Thyroid (C73),M,1995,N75_79,47,1022
Thyroid (C73),M,1996,N75_79,58,1054
Thyroid (C73),M,1997,N75_79,60,1131
Thyroid (C73),M,1998,N75_79,107,1424
Thyroid (C73),M,1999,N75_79,109,1498
Thyroid (C73),M,2000,N75_79,86,1562
Thyroid (C73),M,2001,N75_79,93,1576
Thyroid (C73),M,2002,N75_79,99,1679
Thyroid (C73),M,2003,N75_79,115,1809
Thyroid (C73),M,2004,N75_79,132,2026
Thyroid (C73),M,2005,N75_79,131,2137
Thyroid (C73),M,2006,N75_79,134,2254
Thyroid (C73),M,2007,N75_79,130,2395
Thyroid (C73),M,2008,N75_79,131,2474
Thyroid (C73),M,2009,N75_79,146,2686
Thyroid (C73),M,2010,N75_79,174,2850
Thyroid (C73),M,2011,N75_79,162,2994
Thyroid (C73),M,2012,N75_79,174,3022
Thyroid (C73),M,2013,N75_79,190,3403
Thyroid (C73),M,2014,N75_79,185,3488
Thyroid (C73),M,2015,N75_79,184,3550
Thyroid (C73),M,2016,N75_79,200,3622
Thyroid (C73),M,2017,N75_79,198,3524
Thyroid (C73),F,1953,N75_79,7,71
Thyroid (C73),F,1954,N75_79,9,91
Thyroid (C73),F,1955,N75_79,11,104
Thyroid (C73),F,1956,N75_79,14,92
Thyroid (C73),F,1957,N75_79,14,96
Thyroid (C73),F,1958,N75_79,8,92
Thyroid (C73),F,1959,N75_79,13,93
Thyroid (C73),F,1960,N75_79,9,111
Thyroid (C73),F,1961,N75_79,12,99
Thyroid (C73),F,1962,N75_79,9,127
Thyroid (C73),F,1963,N75_79,13,120
Thyroid (C73),F,1964,N75_79,14,116
Thyroid (C73),F,1965,N75_79,9,135
Thyroid (C73),F,1966,N75_79,14,148
Thyroid (C73),F,1967,N75_79,8,157
Thyroid (C73),F,1968,N75_79,18,167
Thyroid (C73),F,1969,N75_79,21,197
Thyroid (C73),F,1970,N75_79,18,147
Thyroid (C73),F,1971,N75_79,75,605
Thyroid (C73),F,1972,N75_79,61,617
Thyroid (C73),F,1973,N75_79,62,657
Thyroid (C73),F,1974,N75_79,70,713
Thyroid (C73),F,1975,N75_79,69,732
Thyroid (C73),F,1976,N75_79,76,790
Thyroid (C73),F,1977,N75_79,78,831
Thyroid (C73),F,1978,N75_79,81,818
Thyroid (C73),F,1979,N75_79,97,910
Thyroid (C73),F,1980,N75_79,105,1023
Thyroid (C73),F,1981,N75_79,89,946
Thyroid (C73),F,1982,N75_79,102,1031
Thyroid (C73),F,1983,N75_79,145,1456
Thyroid (C73),F,1984,N75_79,127,1384
Thyroid (C73),F,1985,N75_79,132,1420
Thyroid (C73),F,1986,N75_79,113,1450
Thyroid (C73),F,1987,N75_79,122,1539
Thyroid (C73),F,1988,N75_79,122,1876
Thyroid (C73),F,1989,N75_79,167,2158
Thyroid (C73),F,1990,N75_79,159,2215
Thyroid (C73),F,1991,N75_79,193,2465
Thyroid (C73),F,1992,N75_79,156,2526
Thyroid (C73),F,1993,N75_79,139,2968
Thyroid (C73),F,1994,N75_79,166,3152
Thyroid (C73),F,1995,N75_79,163,3246
Thyroid (C73),F,1996,N75_79,174,3341
Thyroid (C73),F,1997,N75_79,166,3483
Thyroid (C73),F,1998,N75_79,230,4346
Thyroid (C73),F,1999,N75_79,257,4653
Thyroid (C73),F,2000,N75_79,243,4982
Thyroid (C73),F,2001,N75_79,264,5257
Thyroid (C73),F,2002,N75_79,283,5527
Thyroid (C73),F,2003,N75_79,294,6183
Thyroid (C73),F,2004,N75_79,285,6549
Thyroid (C73),F,2005,N75_79,327,6825
Thyroid (C73),F,2006,N75_79,310,7055
Thyroid (C73),F,2007,N75_79,353,7592
Thyroid (C73),F,2008,N75_79,362,8331
Thyroid (C73),F,2009,N75_79,337,8700
Thyroid (C73),F,2010,N75_79,380,9111
Thyroid (C73),F,2011,N75_79,362,9353
Thyroid (C73),F,2012,N75_79,380,9630
Thyroid (C73),F,2013,N75_79,373,10056
Thyroid (C73),F,2014,N75_79,413,10609
Thyroid (C73),F,2015,N75_79,454,10688
Thyroid (C73),F,2016,N75_79,423,10900
Thyroid (C73),F,2017,N75_79,414,10386
Hodgkin lymphoma (C81),M,1953,N75_79,2,104
Hodgkin lymphoma (C81),M,1954,N75_79,1,94
Hodgkin lymphoma (C81),M,1955,N75_79,0,99
Hodgkin lymphoma (C81),M,1956,N75_79,4,98
Hodgkin lymphoma (C81),M,1957,N75_79,6,118
Hodgkin lymphoma (C81),M,1958,N75_79,2,110
Hodgkin lymphoma (C81),M,1959,N75_79,4,149
Hodgkin lymphoma (C81),M,1960,N75_79,4,118
Hodgkin lymphoma (C81),M,1961,N75_79,6,121
Hodgkin lymphoma (C81),M,1962,N75_79,4,138
Hodgkin lymphoma (C81),M,1963,N75_79,5,122
Hodgkin lymphoma (C81),M,1964,N75_79,4,162
Hodgkin lymphoma (C81),M,1965,N75_79,7,139
Hodgkin lymphoma (C81),M,1966,N75_79,9,141
Hodgkin lymphoma (C81),M,1967,N75_79,5,144
Hodgkin lymphoma (C81),M,1968,N75_79,7,153
Hodgkin lymphoma (C81),M,1969,N75_79,7,149
Hodgkin lymphoma (C81),M,1970,N75_79,8,158
Hodgkin lymphoma (C81),M,1971,N75_79,35,917
Hodgkin lymphoma (C81),M,1972,N75_79,29,1038
Hodgkin lymphoma (C81),M,1973,N75_79,41,972
Hodgkin lymphoma (C81),M,1974,N75_79,32,960
Hodgkin lymphoma (C81),M,1975,N75_79,44,972
Hodgkin lymphoma (C81),M,1976,N75_79,33,945
Hodgkin lymphoma (C81),M,1977,N75_79,36,1036
Hodgkin lymphoma (C81),M,1978,N75_79,41,1105
Hodgkin lymphoma (C81),M,1979,N75_79,44,983
Hodgkin lymphoma (C81),M,1980,N75_79,44,1060
Hodgkin lymphoma (C81),M,1981,N75_79,43,1019
Hodgkin lymphoma (C81),M,1982,N75_79,36,995
Hodgkin lymphoma (C81),M,1983,N75_79,38,1390
Hodgkin lymphoma (C81),M,1984,N75_79,51,1335
Hodgkin lymphoma (C81),M,1985,N75_79,42,1417
Hodgkin lymphoma (C81),M,1986,N75_79,49,1383
Hodgkin lymphoma (C81),M,1987,N75_79,49,1349
Hodgkin lymphoma (C81),M,1988,N75_79,46,1473
Hodgkin lymphoma (C81),M,1989,N75_79,64,1768
Hodgkin lymphoma (C81),M,1990,N75_79,53,1757
Hodgkin lymphoma (C81),M,1991,N75_79,49,1756
Hodgkin lymphoma (C81),M,1992,N75_79,55,1767
Hodgkin lymphoma (C81),M,1993,N75_79,42,1811
Hodgkin lymphoma (C81),M,1994,N75_79,32,1721
Hodgkin lymphoma (C81),M,1995,N75_79,54,1782
Hodgkin lymphoma (C81),M,1996,N75_79,49,1776
Hodgkin lymphoma (C81),M,1997,N75_79,54,1741
Hodgkin lymphoma (C81),M,1998,N75_79,58,1935
Hodgkin lymphoma (C81),M,1999,N75_79,55,2062
Hodgkin lymphoma (C81),M,2000,N75_79,86,2139
Hodgkin lymphoma (C81),M,2001,N75_79,58,2050
Hodgkin lymphoma (C81),M,2002,N75_79,66,2107
Hodgkin lymphoma (C81),M,2003,N75_79,83,2328
Hodgkin lymphoma (C81),M,2004,N75_79,95,2357
Hodgkin lymphoma (C81),M,2005,N75_79,106,2316
Hodgkin lymphoma (C81),M,2006,N75_79,102,2422
Hodgkin lymphoma (C81),M,2007,N75_79,115,2562
Hodgkin lymphoma (C81),M,2008,N75_79,111,2470
Hodgkin lymphoma (C81),M,2009,N75_79,122,2607
